compound_food,revised_taxonomy_id,id,name,name_scientific,description,itis_id,wikipedia_id,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,legacy_id,food_group,food_subgroup,food_type,created_at,updated_at,creator_id,updater_id,export_to_afcdb,category,ncbi_taxonomy_id,export_to_foodb,public_id
0,64580,3,Silver linden,Tilia argentea,"Tilia tomentosa (Silver Lime in the UK and Silver Linden in the US) is a species of Tilia native to southeastern Europe and southwestern Asia, from Hungary and the Balkans east to western Turkey, occurring at moderate altitudes. It is a deciduous tree growing to 20–35 m tall, with a trunk up to 2 m diameter. The leaves are alternately arranged, rounded to triangular-ovate, 4–13 cm long and broad with a 2.5–4 cm petiole, green and mostly hairless above, densely white tomentose with white hairs below, and with a coarsely toothed margin. The flowers are pale yellow, hermaphrodite, produced in cymes of three to ten in mid to late summer with a pale green subtending leafy bract; they have a strong scent and are pollinated by honeybees. The nectar however contains sugars which cannot be digested by other bees, to whom the tree is somewhat toxic. The fruit is a dry nut-like drupe 8–10 mm long, downy, and slightly ribbed.",845789,Tilia tomentosa,3.jpg,image/jpeg,56367,2012-04-20 09:41:25 UTC,3,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:15 UTC,2019-05-17 16:19:45 UTC,,,FALSE,specific,,TRUE,FOOD00003
0,4681,7,Leek,Allium porrum,"The leek is a vegetable that belongs, along with onion and garlic, to the genus Allium, currently placed in family Amaryllidaceae, subfamily Allioideae. Historically many scientific names were used for leeks, which are now treated as cultivars of Allium ampeloprasum. Two related vegetables, elephant garlic and kurrat, are also cultivars of A.  ampeloprasum, although different in their uses as food. The edible part of the leek plant is a bundle of leaf sheaths that is sometimes erroneously called a stem or stalk.",42659,Leek,7.jpg,image/jpeg,4857,2012-04-20 09:33:40 UTC,7,Vegetables,Onion-family vegetables,Type 1,2011-02-09 00:37:15 UTC,2019-05-14 18:04:13 UTC,,,FALSE,specific,,TRUE,FOOD00007
0,1986359,102,Mexican oregano,Lippia graveolens,"Lippia graveolens, a species of flowering plant in the verbena family, Verbenaceae, is native to the southwestern United States (Texas and southern New Mexico), Mexico, and Central America as far south as Nicaragua. Common names include Mexican oregano, redbrush lippia, orégano Cimmaron, scented lippia, and scented matgrass.
The essential oil of Lippia graveolens contains 0-81% thymol, 0-48% carvacrol, 3-30% para-cymene, and 0-15% eucalyptol. The first two components give the plant a flavor similar to oregano, and the leaves are widely used as an herb in Mexico and Central America.",32068,Mexican_oregano,102.jpg,image/jpeg,88360,2012-04-20 09:38:17 UTC,109,Herbs and Spices,Herbs,Type 1,2011-02-09 00:37:20 UTC,2019-05-14 18:04:16 UTC,,,FALSE,specific,,TRUE,FOOD00102
0,49317,246,Triticale,X Triticosecale rimpaui,"Triticale (× Triticosecale), is a hybrid of wheat (Triticum) and rye (Secale) first bred in laboratories during the late 19th century. The grain was originally bred in Scotland and Sweden. Commercially available triticale is almost always a second generation hybrid, i.e. , a cross between two kinds of primary (first cross) triticales. As a rule, triticale combines the yield potential and grain quality of wheat with the disease and environmental tolerance (including soil conditions) of rye. Only recently has it been developed into a commercially viable crop. Depending on the cultivar, triticale can more or less resemble either of its parents. It is grown mostly for forage or fodder, although some triticale-based foods can be purchased at health food stores or are to be found in some breakfast cereals. When crossing wheat and rye, wheat is used as the female parent and rye as the male parent (pollen donor). The resulting hybrid is sterile, and must be treated with colchicine to induce polyploidy and thus the ability to reproduce itself. The primary producers of triticale are Poland, Germany, France, Belarus and Australia. In 2009, according to the Food and Agriculture Organization (FAO), 15.0 million tons were harvested in 29 countries across the world. The triticale hybrids are all amphidiploid, which means the plant is diploid for two genomes derived from different species. In other words, triticale is an allotetraploid. In earlier years, most work was done on octoploid triticale. Different ploidy levels have been created and evaluated over time. The tetraploids showed little promise, but hexaploid triticale was successful enough to find commercial application. The CIMMYT triticale improvement program wanted to improve food production and nutrition in developing countries. Triticale has potential in the production of bread and other food products, such as cookies, pasta, pizza dough and breakfast cereals. The protein content is higher than that of wheat, although the glutenin fraction is less. The grain has also been stated to have higher levels of lysine than wheat. Assuming increased acceptance, the milling industry will have to adapt to triticale, as the milling techniques employed for wheat are unsuited to triticale. Sell et al. found triticale could be used as a feed grain, and later research found its starch was particularly readily digested. As a feed grain, triticale is already well established and of high economic importance. It has received attention as a potential energy crop, and research is currently being conducted on the use of the crop's biomass in bioethanol production.",506625,Triticale,246.jpg,image/jpeg,153276,2012-04-20 09:43:10 UTC,261,Cereals and cereal products,Cereals,Type 1,2011-02-09 00:37:28 UTC,2019-05-14 18:04:20 UTC,,,FALSE,specific,,TRUE,FOOD00246
0,3801,257,Jostaberry,Ribes × nidigrolaria,"The jostaberry is a complex-cross fruit bush in the Ribes genus, involving three original species, the black currant R. nigrum, the North American coastal black gooseberry R. divaricatum, and the European gooseberry R. uva-crispa. It is similar to Ribes × culverwellii, the Jochelbeere, which is descended from just two of these species, R. nigrum and R. uva-crispa.
The nearly black berry, which is smaller than a gooseberry and a bit larger than a blackcurrant, is edible both raw and cooked. It is described as having a taste intermediate between a gooseberry and a blackcurrant, with the gooseberry flavor more dominant in the unripe fruit, and the blackcurrant notes developing as the fruit ripens. The ripe fruit will hang on the bush in good condition through late summer, but is very popular with birds. The somewhat unripe fruit can be used in cooking recipes as a gooseberry. Like blackcurrants the fruit freezes well, and like many other members of the Ribes genus it is rich in Vitamin C.",,Jostaberry,257.jpg,image/jpeg,71257,2012-04-20 09:42:31 UTC,275,Fruits,Berries,Type 1,2011-02-09 00:37:29 UTC,2019-05-14 18:04:21 UTC,,,FALSE,specific,,TRUE,FOOD00257
0,3712,260,Oxheart cabbage,Brassica oleracea var. conica,,,,260.jpg,image/jpeg,12924,2012-04-20 09:37:12 UTC,280,Vegetables,Cabbages,Type 1,2011-02-09 00:37:29 UTC,2019-05-14 18:04:21 UTC,,,FALSE,specific,,TRUE,FOOD00260
0,161934,264,Red beetroot,Beta vulgaris var. rubra,"The beetroot is the taproot portion of the beet plant, also known in North America as the table beet, garden beet, red or golden beet, or informally simply as the beet. It is several of the cultivated varieties of beet (<i>Beta vulgaris</i>) grown for their edible taproots and their greens. These varieties have been classified as <i>B. vulgaris</i> subsp. <i>vulgaris</i> Conditiva Group. Other than as a food, its uses include food coloring and as a medicinal plant. Many beet products are made from other <i>Beta vulgaris</i> varieties, particularly sugar beet. (Wikipedia)",,Beetroot,264.jpg,image/jpeg,39556,2012-04-20 09:30:15 UTC,284,Vegetables,Root vegetables,Type 1,2011-02-09 00:37:29 UTC,2019-05-14 18:04:21 UTC,,,TRUE,specific,,TRUE,FOOD00264
0,1891594,265,Sweet rowanberry,Grataegosorbus mitschurinii,,,,265.jpg,image/jpeg,247840,2012-04-20 09:41:46 UTC,285,Fruits,Berries,Type 1,2011-02-09 00:37:29 UTC,2019-05-14 18:04:21 UTC,,,FALSE,specific,,TRUE,FOOD00265
1,,268,Beer,,"Beer is an alcoholic beverage produced by the saccharification of starch and fermentation of the resulting sugar. The starch and saccharification enzymes are often derived from malted cereal grains, most commonly malted barley and malted wheat. Most beer is also flavoured with hops, which add bitterness and act as a natural preservative, though other flavourings such as herbs or fruit may occasionally be included. The preparation of beer is called brewing.",,Beer,268.jpg,image/jpeg,2746,2012-04-20 09:44:23 UTC,289,Beverages,Fermented beverages,Type 2,2011-02-09 00:37:29 UTC,2019-05-14 18:04:21 UTC,,2,FALSE,specific,,TRUE,FOOD00268
1,,269,Other bread,,"Bread is the staple food in Europe, European-derived cultures such as the Americas, and the Middle East and North Africa, as opposed to East Asia whose staple is rice. Bread is usually made from a wheat-flour dough that is cultured with yeast, allowed to rise, and finally baked in an oven. Owing to its high levels of gluten (which give the dough sponginess and elasticity), common wheat (also known as bread wheat) is the most common grain used for the preparation of bread, but bread is also made from the flour of other wheat species (including durum, spelt and emmer), rye, barley, maize (corn), and oats, usually, but not always, in combination with wheat flour. [Wikipedia]",,Bread,269.jpg,image/jpeg,154670,2012-04-20 09:39:34 UTC,290,Cereals and cereal products,Other breads,Type 2,2011-02-09 00:37:29 UTC,2019-05-14 18:04:21 UTC,,2,FALSE,specific,,FALSE,FOOD00269
1,,270,Breakfast cereal,,"A breakfast cereal (or just cereal) is a food made from processed grains that is often eaten with the first meal of the day. It is often eaten cold, usually mixed with milk, juice, water, or yogurt, and sometimes fruit, but may be eaten dry. Some companies promote their products for the health benefits from eating oat-based and high-fiber cereals. Cereals may be fortified with vitamins. Some cereals are made with high sugar content. Many breakfast cereals are produced via extrusion. The breakfast cereal industry has gross profit margins of 40-45%, 90% penetration in some markets, and steady and continued growth throughout its history.",,Breakfast cereal,270.jpg,image/jpeg,198626,2012-04-20 09:37:35 UTC,291,Cereals and cereal products,Cereal products,Type 2,2011-02-09 00:37:29 UTC,2020-03-12 20:56:30 UTC,,2,FALSE,specific,,TRUE,FOOD00270
1,,272,Other soy product,,,,,272.jpg,image/jpeg,41524,2012-04-20 09:30:20 UTC,293,Soy,Soy products,Type 2,2011-02-09 00:37:29 UTC,2019-05-14 18:04:21 UTC,,2,FALSE,specific,,FALSE,FOOD00271
1,,273,Other cereal product,,,,,273.jpg,image/jpeg,107737,2012-04-20 09:37:05 UTC,294,Cereals and cereal products,Cereal products,Type 2,2011-02-09 00:37:29 UTC,2019-05-14 18:04:21 UTC,,2,FALSE,specific,,FALSE,FOOD00272
1,,274,Pasta,,"Pasta is a type of noodle and is a staple food of traditional Italian cuisine, with the first reference dating to 1154 in Sicily. It is also commonly used to refer to the variety of pasta dishes. Typically pasta is made from an unleavened dough of a durum wheat flour mixed with water and formed into sheets or various shapes, then cooked and served in any number of dishes. It can be made with flour from other cereals or grains, and eggs may be used instead of water. Pastas may be divided into two broad categories, dried (pasta secca) and fresh (pasta fresca). Chicken eggs frequently dominate as the source of the liquid component in fresh pasta. Most dried pasta is commercially produced via an extrusion process. Fresh pasta was traditionally produced by hand, sometimes with the aid of simple machines, but today many varieties of fresh pasta are also commercially produced by large scale machines, and the products are broadly available in supermarkets. Both dried and fresh pasta come in a number of shapes and varieties, with 310 specific forms known variably by over 1300 names having been recently documented. In Italy the names of specific pasta shapes or types often vary with locale. For example the form cavatelli is known by 28 different names depending on region and town. Common forms of pasta include long shapes, short shapes, tubes, flat shapes and sheets, miniature soup shapes, filled or stuffed, and specialty or decorative shapes. As a category in Italian cuisine, both dried and fresh pastas are classically used in one of three kinds of prepared dishes. As pasta asciutta (or pastasciutta) cooked pasta is plated and served with a complementary sauce or condiment. A second classification of pasta dishes is pasta in brodo in which the pasta is part of a soup-type dish. A third category is pasta al forno in which the pasta incorporated into a dish that is subsequently baked. Pasta is generally a simple dish, but comes in large varieties because it is a versatile food item. Some pasta dishes are served as a first course in Italy because the portion sizes are small and simple. The servings are usually accompanied by a side of meat. Pasta is also prepared in light lunches, such as salads or large portion sizes for dinner. It can be prepared by hand or food processor and served hot or cold. Pasta sauces vary in taste, color and texture. When choosing which type of pasta and sauce to serve together, there is a general rule that must be observed. Simple sauces like pesto are ideal for long and thin strands of pasta while tomato sauce combines well with thicker pastas. Thicker and chunkier sauces have the better ability to cling onto the holes and cuts of short, tubular, twisted pastas. Sauce should be served equally with its pasta. It is important that the sauce does not overflow the pasta. The extra sauce is left on the plate after all of the pasta is eaten.",,Pasta,274.jpg,image/jpeg,2205799,2012-04-20 09:34:38 UTC,297,Cereals and cereal products,Cereal products,Type 2,2011-02-09 00:37:29 UTC,2020-03-12 20:57:16 UTC,,2,FALSE,specific,,TRUE,FOOD00273
1,,275,Biscuit,,"A biscuit is a baked, commonly flour-based food product. The term is applied to two distinct products in North America and the Commonwealth of Nations and Europe. For a list of varieties, see the list of biscuits and cookies.",,Biscuit,275.jpg,image/jpeg,8965,2012-04-20 09:37:00 UTC,298,Cereals and cereal products,Cereal products,Type 2,2011-02-09 00:37:30 UTC,2019-05-14 18:04:21 UTC,,2,FALSE,specific,,FALSE,FOOD00274
1,,276,Sourdough,,"Sourdough is a dough containing a Lactobacillus culture, usually in symbiotic combination with yeasts. It is one of two principal means of biological leavening in bread baking, along with the use of cultivated forms of yeast (Saccharomyces). It is of particular importance in baking rye-based breads, where yeast does not produce comparable results. In comparison with yeast-based breads, it produces a distinctively tangy or sour taste, mainly because of the lactic acid produced by the lactobacilli; the actual medium, known as """"starter"""" or levain, is essentially an ancestral form of pre-ferment. In English-speaking countries, where wheat-based breads predominate, sourdough is no longer the standard method for bread leavening. It was gradually replaced, first by the use of barm from beermaking, then, after the confirmation of germ theory by Louis Pasteur, by cultured yeasts. However, some form of natural leaven is still used by many specialty bakeries. [Wikipedia]",,Sourdough,276.jpg,image/jpeg,16948,2012-04-20 09:42:26 UTC,299,Cereals and cereal products,Doughs,Type 2,2011-02-09 00:37:30 UTC,2020-03-12 20:57:27 UTC,,2,FALSE,specific,,TRUE,FOOD00275
1,,277,Spirit,,,,Spirit,277.jpg,image/jpeg,194630,2012-04-20 09:36:55 UTC,300,Beverages,Distilled beverages,Type 2,2011-02-09 00:37:30 UTC,2019-05-14 18:04:21 UTC,,2,FALSE,specific,,TRUE,FOOD00276
